Vendor,WEEK_NBR,Item,Description,Size,UPC,DC,Active Flag,AIM STR CNT,AIM INSTK STORE CNT,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,Store TIL,Need for Store TIL
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,MA,Y,312,264,84.6%,0,456,649,669,183
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,NJ,Y,684,593,86.7%,321,816,1611,1539,377
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,OR,Y,437,418,95.7%,79,384,1027,892,95
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,PA,Y,470,450,95.7%,76,504,1061,958,106
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,SC,Y,480,458,95.4%,47,336,1056,963,88
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,TN,Y,388,382,98.5%,240,0,874,782,44
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,UC,Y,420,394,93.8%,374,336,1005,874,126
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,WN,Y,588,488,83.0%,193,1452,1199,1312,373
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,YK,Y,296,270,91.2%,0,420,702,609,98
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,AL,Y,473,460,97.3%,137,0,1030,928,17
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,CR,Y,268,268,100.0%,96,0,620,537,14
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,DT,Y,444,443,99.8%,214,0,1118,890,17
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,EN,Y,243,242,99.6%,50,0,563,484,5
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,FL,Y,180,179,99.4%,50,24,446,377,10
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,IN,Y,649,643,99.1%,56,84,1535,1298,24
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,LA,Y,607,596,98.2%,992,0,1371,1214,53
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,MA,Y,314,311,99.0%,58,84,841,641,17
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,NJ,Y,676,658,97.3%,164,252,1973,1416,73
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,OR,Y,315,313,99.4%,45,24,738,649,19
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,PA,Y,454,449,98.9%,115,48,1017,911,25
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,SC,Y,464,460,99.1%,96,72,1066,928,15
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,TN,Y,377,375,99.5%,138,0,850,754,17
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,UC,Y,408,339,83.1%,1237,0,771,683,20
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,WN,Y,576,573,99.5%,196,384,1463,1155,36
19366,201151,845042,CVS OILFR ACNE WSH,4.2Z,5042882700,YK,Y,288,284,98.6%,99,0,733,575,19
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,AL,Y,231,227,98.3%,33,12,300,231,3
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,CR,Y,231,228,98.7%,44,0,311,238,3
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,DT,Y,297,293,98.7%,35,0,384,296,2
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,EN,Y,233,233,100.0%,40,0,322,239,0
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,FL,Y,242,238,98.3%,36,12,384,304,4
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,IN,Y,447,435,97.3%,45,0,606,449,11
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,LA,Y,547,539,98.5%,69,60,788,555,8
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,MA,Y,267,262,98.1%,50,12,406,269,5
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,NJ,Y,647,629,97.2%,118,0,977,645,12
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,OR,Y,288,287,99.7%,28,24,410,313,1
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,PA,Y,276,273,98.9%,57,0,399,278,3
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,SC,Y,225,220,97.8%,38,12,331,226,5
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,TN,Y,141,140,99.3%,50,0,195,140,1
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,UC,Y,381,375,98.4%,43,24,524,380,3
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,WN,Y,554,543,98.0%,72,24,834,556,9
19366,201151,850338,CVS STRTCH MRK LTN,5Z,5042848431,YK,Y,236,229,97.0%,0,36,327,231,0
