Basis,Point of Sale,Balance On Hand,Aim Store Count,Instock Store Count,Date
551118811,5877,20855,3442,3364,201332
551118811,4942,21428,3458,3379,201333
551118811,4683,21670,3390,3307,201334
551118811,4446,21976,3392,3307,201335
551118811,4605,24458,3397,3332,201336
551118811,4487,25687,3398,3354,201337
551118811,4479,25587,3406,3366,201338
551118811,3887,24844,3410,3381,201339
551118811,3685,23529,3416,3373,201340
551118811,3495,21607,3419,3341,201341
551118811,3343,20027,3421,3337,201342
551118811,3145,18501,3420,3306,201343
551118811,2761,17469,3420,3266,201344
551118811,2967,17614,3422,3274,201345
551118811,2734,18655,3421,3329,201346
551118811,2944,19284,3421,3332,201347
551118811,2825,19759,3421,3337,201348
551118811,3316,20764,3422,3340,201349
551118811,3076,23161,3426,3367,201350
551118811,3127,24161,3441,3390,201351
551118811,2981,24082,3443,3383,201352
551118811,497,24082,3443,3383,201353
551567603,0,0,0,0,201324
551567603,0,0,0,0,201325
551567603,0,0,0,0,201326
551567603,0,0,0,0,201327
551567603,0,0,0,0,201328
551567603,0,0,0,0,201329
551567603,69,11183,0,0,201330
551567603,1678,22180,4016,3856,201331
551567603,5242,17774,4020,3684,201332
551567603,7302,12261,4028,3110,201333
551567603,7943,11035,4036,3207,201334
551567603,7018,8127,4037,2607,201335
551567603,7639,10790,4047,3007,201336
551567603,9448,16267,4051,3709,201337
551567603,8992,13891,4061,3226,201338
551567603,9134,17131,4068,3709,201339
551567603,10268,20142,4073,3973,201340
551567603,11036,19177,4079,3947,201341
551567603,10708,22848,4092,4031,201342
551567603,10804,22814,4089,4042,201343
551567603,9250,20482,4089,4026,201344
551567603,10074,20212,4092,4029,201345
551567603,8870,20657,4091,4033,201346
551567603,8939,19741,4091,4035,201347
551567603,7898,19746,4091,4034,201348
551567603,9571,18316,4091,3969,201349
551567603,9026,20054,4094,4018,201350
551567603,9811,19917,4113,4022,201351
551567603,9126,20678,4112,4052,201352
551567603,1440,20678,4112,4052,201353
