Basis,Point of Sale,Aim Store Count,Instock Store Count,Balance On Order,Balance On Hand,Date
550168489,4188,0,0,0,0,201429
550168489,4168,0,0,0,0,201430
550168489,4046,0,0,0,0,201431
550168489,4082,0,0,0,0,201432
550168489,3976,0,0,0,0,201433
550168489,3930,0,0,0,0,201434
550168489,3962,0,0,0,0,201435
550168489,3811,0,0,0,0,201436
550168489,4008,0,0,0,0,201437
550168489,3821,0,0,0,0,201438
550168489,3851,0,0,0,0,201439
550168489,3891,0,0,0,0,201440
550168489,3658,0,0,0,0,201441
550168489,3533,0,0,0,0,201442
550168489,3249,0,0,0,0,201443
550168489,3849,0,0,0,0,201444
550168489,3869,0,0,0,0,201445
550168489,3963,0,0,0,0,201446
550168489,3435,0,0,0,0,201447
550168489,4370,0,0,0,0,201448
550168489,4070,0,0,0,0,201449
550168489,4218,0,0,0,0,201450
550168489,4540,0,0,0,0,201451
550168489,4266,0,0,0,0,201452
550168489,4540,0,0,0,0,201501
550168489,4868,0,0,0,0,201502
550168489,4478,0,0,0,0,201503
550168489,4765,0,0,0,0,201504
550168489,4898,0,0,0,0,201505
550168489,4940,0,0,0,0,201506
550168489,4925,0,0,0,0,201507
550168489,4617,0,0,0,0,201508
550168489,4626,0,0,0,0,201509
550168489,4351,0,0,0,0,201510
550168489,4624,4334,4252,5784,21920,201511
550168489,627,0,0,0,0,201512
550210106,4823,0,0,0,0,201412
550210106,5714,0,0,0,0,201413
550210106,6443,0,0,0,0,201414
550210106,7055,0,0,0,0,201415
550210106,8887,0,0,0,0,201416
550210106,13037,0,0,0,0,201417
550210106,14153,0,0,0,0,201418
550210106,13981,0,0,0,0,201419
550210106,19772,0,0,0,0,201420
550210106,21830,0,0,0,0,201421
550210106,23613,0,0,0,0,201422
550210106,20293,0,0,0,0,201423
550210106,18275,0,0,0,0,201424
550210106,14435,0,0,0,0,201425
550210106,13086,0,0,0,0,201426
550210106,10447,0,0,0,0,201427
550210106,8571,0,0,0,0,201428
550210106,7001,0,0,0,0,201429
550210106,6696,0,0,0,0,201430
550210106,6291,0,0,0,0,201431
550210106,4876,0,0,0,0,201432
550210106,4479,0,0,0,0,201433
550210106,3738,0,0,0,0,201434
550210106,3630,0,0,0,0,201435
550210106,3463,0,0,0,0,201436
550210106,3384,0,0,0,0,201437
550210106,3237,0,0,0,0,201438
550210106,2963,0,0,0,0,201439
550210106,2834,0,0,0,0,201440
550210106,2926,0,0,0,0,201441
550210106,2697,0,0,0,0,201442
550210106,2585,0,0,0,0,201443
550210106,2705,0,0,0,0,201444
550210106,2801,0,0,0,0,201445
550210106,2638,0,0,0,0,201446
550210106,2132,0,0,0,0,201447
550210106,2777,0,0,0,0,201448
550210106,2573,0,0,0,0,201449
550210106,2710,0,0,0,0,201450
550210106,2896,0,0,0,0,201451
550210106,3047,0,0,0,0,201452
550210106,3499,0,0,0,0,201501
550210106,3686,0,0,0,0,201502
550210106,3586,0,0,0,0,201503
550210106,3783,0,0,0,0,201504
550210106,4071,0,0,0,0,201505
550210106,4433,0,0,0,0,201506
550210106,4829,0,0,0,0,201507
550210106,4898,0,0,0,0,201508
550210106,5795,0,0,0,0,201509
550210106,6045,0,0,0,0,201510
550210106,5979,4414,4388,4376,169360,201511
550210106,967,0,0,0,0,201512
550803669,0,0,0,0,0,201504
550803669,0,0,0,0,0,201505
550803669,0,0,0,0,0,201506
550803669,0,0,0,0,0,201507
550803669,0,0,0,0,0,201508
550803669,0,0,0,0,0,201509
550803669,0,0,0,0,0,201510
550803669,1,5,0,1596,4718,201511
550803669,2,0,0,0,0,201512
551118810,3634,0,0,0,0,201412
551118810,4237,0,0,0,0,201413
551118810,4835,0,0,0,0,201414
551118810,6027,0,0,0,0,201415
551118810,7002,0,0,0,0,201416
551118810,10451,0,0,0,0,201417
551118810,14865,0,0,0,0,201418
551118810,15676,0,0,0,0,201419
551118810,17821,0,0,0,0,201420
551118810,22854,0,0,0,0,201421
551118810,23032,0,0,0,0,201422
551118810,22428,0,0,0,0,201423
551118810,16734,0,0,0,0,201424
551118810,16391,0,0,0,0,201425
551118810,14867,0,0,0,0,201426
551118810,13619,0,0,0,0,201427
551118810,11593,0,0,0,0,201428
551118810,11565,0,0,0,0,201429
551118810,11071,0,0,0,0,201430
551118810,11536,0,0,0,0,201431
551118810,9427,0,0,0,0,201432
551118810,7988,0,0,0,0,201433
551118810,7829,0,0,0,0,201434
551118810,7378,0,0,0,0,201435
551118810,5390,0,0,0,0,201436
551118810,4402,0,0,0,0,201437
551118810,3569,0,0,0,0,201438
551118810,3056,0,0,0,0,201439
551118810,2298,0,0,0,0,201440
551118810,1903,0,0,0,0,201441
551118810,1518,0,0,0,0,201442
551118810,1489,0,0,0,0,201443
551118810,1714,0,0,0,0,201444
551118810,1618,0,0,0,0,201445
551118810,1510,0,0,0,0,201446
551118810,1262,0,0,0,0,201447
551118810,1626,0,0,0,0,201448
551118810,1490,0,0,0,0,201449
551118810,1293,0,0,0,0,201450
551118810,1481,0,0,0,0,201451
551118810,1439,0,0,0,0,201452
551118810,1570,0,0,0,0,201501
551118810,1648,0,0,0,0,201502
551118810,1405,0,0,0,0,201503
551118810,1592,0,0,0,0,201504
551118810,1682,0,0,0,0,201505
551118810,2025,0,0,0,0,201506
551118810,2305,0,0,0,0,201507
551118810,2592,0,0,0,0,201508
551118810,2885,0,0,0,0,201509
551118810,3471,0,0,0,0,201510
551118810,4037,4517,4333,9904,31927,201511
551118810,672,0,0,0,0,201512
551118811,3742,0,0,0,0,201412
551118811,3796,0,0,0,0,201413
551118811,3839,0,0,0,0,201414
551118811,3726,0,0,0,0,201415
551118811,4188,0,0,0,0,201416
551118811,4737,0,0,0,0,201417
551118811,5113,0,0,0,0,201418
551118811,4909,0,0,0,0,201419
551118811,4965,0,0,0,0,201420
551118811,4991,0,0,0,0,201421
551118811,5456,0,0,0,0,201422
551118811,5307,0,0,0,0,201423
551118811,4928,0,0,0,0,201424
551118811,4733,0,0,0,0,201425
551118811,4595,0,0,0,0,201426
551118811,4757,0,0,0,0,201427
551118811,4266,0,0,0,0,201428
551118811,4315,0,0,0,0,201429
551118811,4280,0,0,0,0,201430
551118811,4329,0,0,0,0,201431
551118811,3945,0,0,0,0,201432
551118811,3723,0,0,0,0,201433
551118811,3614,0,0,0,0,201434
551118811,3650,0,0,0,0,201435
551118811,3625,0,0,0,0,201436
551118811,3408,0,0,0,0,201437
551118811,3277,0,0,0,0,201438
551118811,3156,0,0,0,0,201439
551118811,2849,0,0,0,0,201440
551118811,2700,0,0,0,0,201441
551118811,2550,0,0,0,0,201442
551118811,2534,0,0,0,0,201443
551118811,2635,0,0,0,0,201444
551118811,2421,0,0,0,0,201445
551118811,2452,0,0,0,0,201446
551118811,2415,0,0,0,0,201447
551118811,2785,0,0,0,0,201448
551118811,2635,0,0,0,0,201449
551118811,2682,0,0,0,0,201450
551118811,2780,0,0,0,0,201451
551118811,2697,0,0,0,0,201452
551118811,3037,0,0,0,0,201501
551118811,3247,0,0,0,0,201502
551118811,3090,0,0,0,0,201503
551118811,3109,0,0,0,0,201504
551118811,3086,0,0,0,0,201505
551118811,3432,0,0,0,0,201506
551118811,3698,0,0,0,0,201507
551118811,3721,0,0,0,0,201508
551118811,4011,0,0,0,0,201509
551118811,3929,0,0,0,0,201510
551118811,4119,3776,3537,8128,16738,201511
551118811,640,0,0,0,0,201512
551567603,10138,0,0,0,0,201412
551567603,10963,0,0,0,0,201413
551567603,10729,0,0,0,0,201414
551567603,10015,0,0,0,0,201415
551567603,10008,0,0,0,0,201416
551567603,9990,0,0,0,0,201417
551567603,10915,0,0,0,0,201418
551567603,10841,0,0,0,0,201419
551567603,10602,0,0,0,0,201420
551567603,10363,0,0,0,0,201421
551567603,11386,0,0,0,0,201422
551567603,11666,0,0,0,0,201423
551567603,11902,0,0,0,0,201424
551567603,11478,0,0,0,0,201425
551567603,11674,0,0,0,0,201426
551567603,12057,0,0,0,0,201427
551567603,11928,0,0,0,0,201428
551567603,12029,0,0,0,0,201429
551567603,12065,0,0,0,0,201430
551567603,12360,0,0,0,0,201431
551567603,11638,0,0,0,0,201432
551567603,11787,0,0,0,0,201433
551567603,11849,0,0,0,0,201434
551567603,12403,0,0,0,0,201435
551567603,12393,0,0,0,0,201436
551567603,11777,0,0,0,0,201437
551567603,11440,0,0,0,0,201438
551567603,11200,0,0,0,0,201439
551567603,12203,0,0,0,0,201440
551567603,11338,0,0,0,0,201441
551567603,10643,0,0,0,0,201442
551567603,9492,0,0,0,0,201443
551567603,11504,0,0,0,0,201444
551567603,10603,0,0,0,0,201445
551567603,10453,0,0,0,0,201446
551567603,9119,0,0,0,0,201447
551567603,10883,0,0,0,0,201448
551567603,10055,0,0,0,0,201449
551567603,10480,0,0,0,0,201450
551567603,10813,0,0,0,0,201451
551567603,10723,0,0,0,0,201452
551567603,11743,0,0,0,0,201501
551567603,11396,0,0,0,0,201502
551567603,10322,0,0,0,0,201503
551567603,11125,0,0,0,0,201504
551567603,11512,0,0,0,0,201505
551567603,11547,0,0,0,0,201506
551567603,11620,0,0,0,0,201507
551567603,11489,0,0,0,0,201508
551567603,11816,0,0,0,0,201509
551567603,11686,0,0,0,0,201510
551567603,11916,4479,4438,0,25474,201511
551567603,1972,0,0,0,0,201512
553488880,0,0,0,0,0,201501
553488880,0,0,0,0,0,201502
553488880,0,0,0,0,0,201503
553488880,0,0,0,0,0,201504
553488880,0,0,0,0,0,201505
553488880,1,0,0,0,0,201506
553488880,495,0,0,0,0,201507
553488880,1258,0,0,0,0,201508
553488880,899,0,0,0,0,201509
553488880,25,0,0,0,0,201510
553488880,29,0,0,0,7,201511
553488880,3,0,0,0,0,201512
