Basis,Point of Sale,Balance On Hand,Aim Store Count,Instock Store Count,Date
551567603,10841,18102,4178,4057,201419
551567603,10602,18222,4180,4079,201420
551567603,10363,18409,4182,4067,201421
551567603,11386,17398,4181,4056,201422
551567603,11666,17742,4182,4033,201423
551567603,11902,17683,4198,4053,201424
551567603,11478,17879,4202,4090,201425
551567603,11674,17862,4202,4068,201426
551567603,12057,18229,4204,4076,201427
551567603,11928,18258,4222,4087,201428
551567603,12029,18430,4229,4104,201429
551567603,12065,17973,4231,4092,201430
551567603,12360,16811,4229,4064,201431
551567603,11638,16813,4252,4093,201432
551567603,11787,16744,4252,4088,201433
551567603,11849,20912,4255,4180,201434
551567603,12403,24918,4258,4219,201435
551567603,12393,25874,4264,4221,201436
551567603,11777,26567,4269,4230,201437
551567603,11440,25866,4278,4246,201438
551567603,11200,25637,4278,4243,201439
551567603,12203,24931,4292,4253,201440
551567603,11338,25832,4294,4259,201441
551567603,10643,25871,4297,4270,201442
551567603,9492,25316,4298,4264,201443
551567603,11504,24552,4302,4259,201444
551567603,10603,25617,4316,4279,201445
551567603,10453,25237,4335,4297,201446
551567603,9119,24525,4333,4284,201447
551567603,10883,22774,4333,4256,201448
551567603,10055,25044,4363,4323,201449
551567603,10480,24869,4381,4335,201450
551567603,10813,24301,4417,4364,201451
551567603,10723,24528,4450,4393,201452
551567603,11743,29162,4450,4404,201501
551567603,11396,26272,4452,4410,201502
551567603,10322,25926,4454,4427,201503
551567603,11123,24922,4455,4413,201504
551567603,2009,24922,4455,4413,201505
