Missing,Basis,Missing,Missing,Missing,Balance On Hand,Balance On Order,Store Balance On Hand,Missing,Missing
201151,727121,Y,673,668,93,0,3643,1364,17
201151,727121,Y,437,437,1,924,1776,884,3
201151,727121,Y,1625,1619,1125,0,6080,3255,26
201151,727121,Y,418,416,19,168,1378,841,15
201151,727121,Y,571,565,2385,0,2471,1144,18
201151,727121,Y,284,282,124,0,1266,568,5
201151,727122,Y,313,310,0,60,999,626,12
201151,727122,Y,318,318,12,0,1031,636,4
201151,727122,Y,292,265,0,528,868,599,86
201151,727122,Y,1551,1495,120,288,5560,3102,164
201151,727122,Y,618,590,0,96,1752,1241,101
201151,727122,Y,670,665,143,0,2967,1346,23
201151,727122,Y,438,433,0,804,1485,884,17
201151,727122,Y,1625,1591,95,0,5730,3250,126
201151,727122,Y,419,418,38,264,1227,840,11
201151,727122,Y,572,559,164,0,2325,1145,44
201151,727122,Y,281,271,0,0,1126,562,36
201151,727124,Y,313,310,38,12,989,626,10
201151,727124,Y,318,318,61,0,1004,636,0
201151,727124,Y,292,289,115,600,949,607,19
201151,727124,Y,1549,1544,125,108,5230,3098,22
201151,727124,Y,618,614,4,36,2037,1241,18
201151,727124,Y,667,664,338,0,2721,1337,11
201151,727124,Y,437,420,0,972,1263,886,52
201151,727124,Y,1627,1620,101,0,7653,3254,23
201151,727124,Y,418,413,44,144,1262,839,13
201151,727124,Y,566,565,174,0,2052,1139,7
201151,727124,Y,280,280,1,0,1003,560,1
201151,727125,Y,313,310,0,48,928,626,14
201151,727125,Y,318,314,0,0,1031,636,11
201151,727125,Y,292,285,1289,0,941,601,24
201151,727125,Y,1546,1524,0,132,5279,3092,81
201151,727125,Y,618,590,0,96,1977,1241,116
201151,727125,Y,667,663,285,0,3201,1338,11
201151,727125,Y,437,392,0,396,1430,887,109
201151,727125,Y,1623,1619,72,0,5724,3246,27
201151,727125,Y,445,428,0,216,1421,896,54
201151,727125,Y,572,564,0,0,2673,1147,32
201151,727125,Y,281,277,688,0,1215,562,11
201151,727126,Y,24,20,965,0,58,41,0
201151,727126,Y,22,17,817,0,73,34,0
201151,727126,Y,1,0,2405,0,0,0,0
201151,727126,Y,142,100,3401,0,373,278,74
201151,727126,Y,114,112,2388,0,765,238,5
201151,727126,Y,96,89,1168,0,501,184,3
